frequency_rank,spanish,part_of_speech,english_meaning,korean,category_code
3943,peste,nf,"plague, pestilence, pest",역병,A-1-b
3944,expedición,nf,expedition,원정,A-2
3945,destrozar,v,rip/break into pieces,파괴하다,B-2
3946,vasco,adj,Basque,바스크의,B-2
3947,simular,v,"pretend, simulate",~인 체하다,A-2
3948,complementario,adj,"additional, complementary",보충의,A-2
3949,mecánica,nf,"mechanics, mechanism",역학,A-2
3950,electricidad,nf,electricity,전기,A-2
3951,insólito,adj,"unusual, uncommon",특이한,B-2
3952,temeroso,adj,fearful,두려워하는,B-2
3953,extraordinariamente,adv,extraordinarily,비상하게,A-2
3954,ascensor,nm,elevator,엘리베이터,B-2
3955,bicicleta,nf,bicycle,자전거,B-2
3956,consagrado,adj,"dedicated, consecrated",헌신적인,B-2
3957,aporte,nm,contribution,기여,B-2
3958,despierto,adj,awake,깨어있는,B-2
3959,beca,nf,"scholarship, grant",장학금,B-2
3960,consentir,v,"consent to, pamper",동의하다,A-2
3961,trigo,nm,wheat,밀,B-2
3962,paralizar,v,to paralyze,마비시키다,A-2
3963,disipar,v,"dissipate, disperse",흩어지게 하다,A-2
3964,incrementar,v,to increase,증가시키다,A-2
3965,plataforma,nf,"platform, springboard",플랫폼,A-2
3966,maestra,nf,teacher (f),선생님(여),A-3
3967,clínica,nf,clinic,클리닉,A-2
3968,heredero,nm,"heir, heiress",상속인,A-3
3969,embarazada,adj,pregnant,임신한,B-2
3970,estadio,nm,stadium,경기장,A-2
3971,latinoamericano,adj,Latin American,라틴 아메리카의,B-2
3972,tecnológico,adj,technological,기술의,A-2
3973,desfile,nm,"parade, line, formation",퍼레이드,B-2
3974,buque,nm,"ship, vessel, hull",선박,B-2
3975,parentesco,nm,kinship,친족 관계,B-2
3976,fallo,nm,"mistake, blunder, fault",실패,B-2
3977,rebeldía,nf,"rebelliousness, defiance",반항,B-2
3978,desigual,adj,"unequal, uneven, irregular",불평등한,B-2
3979,corrección,nf,"correction, amendment",수정,A-2
3980,chispa,nf,spark,불꽃,B-2
3981,virgen,nf,virgin,처녀,A-1-b
3982,reprochar,v,to reproach,비난하다,B-2
3983,supervivencia,nf,survival,생존,B-2
3984,caridad,nf,charity,자선,A-2
3985,alumbrar,v,"light, illuminate",비추다,B-2
3986,comunión,nf,communion,성찬,A-2
3987,embajador,nm/f,ambassador,대사,B-2
3988,tercio,nm,third,3분의 1,B-2
3989,iluminación,nf,"illumination, lighting",조명,A-2
3990,censura,nf,"censorship, criticism",검열,A-2
3991,disputa,nf,"dispute, argument, quarrel",분쟁,B-2
3992,esplendor,nm,splendor,화려함,A-2
3993,inscribir,v,"register, record",등록하다,A-3
3994,perjuicio,nm,"damage, loss",손해,B-2
3995,medalla,nf,"medal, medallion",메달,A-1-b
3996,lealtad,nf,"loyalty, faithfulness",충성,B-2
3997,divorcio,nm,divorce,이혼,A-2
3998,dotar,v,"endow, bestow",부여하다,B-2
3999,enfoque,nm,"focus, approach",접근법,B-2
4000,civilizado,adj,civilized,문명화된,A-2
4001,firmeza,nf,firmness,확고함,B-2
4002,indudable,adj,unquestionable,의심할 여지 없는,B-2
4003,colina,nf,"hill, slope",언덕,B-2
4004,parcela,nf,piece of property,소포,B-2
4005,jaula,nf,"cage, crate, playpen",새장,B-2
4006,ajuste,nm,"adjustment, settlement",조정,A-3
4007,lateral,adj,"side, lateral",측면의,A-2
4008,entierro,nm,burial,매장,B-2
4009,reventar,v,"burst, puncture",터뜨리다,B-2
4010,servidor,nm/f,servant,하인,A-3
4011,superioridad,nf,superiority,우월성,A-2
4012,turismo,nm,tourism,관광,A-2
4013,barbaridad,nf,atrocity,만행,A-2
4014,rollo,nm,"roll, coil","두루마리, 롤",B-2
4015,arbitrario,adj,arbitrary,임의적인,A-2
4016,triángulo,nm,triangle,삼각형,A-2
4017,aislamiento,nm,isolation,고립,B-2
4018,alivio,nm,"relief, unburdening",안도,B-2
4019,entrenamiento,nm,training,훈련,B-2
4020,truco,nm,"trick, ruse",속임수,B-2
4021,respetable,adj,respectable,존경할 만한,A-2
4022,disparate,nm,"nonsense, blunder",터무니없는 말,B-2
4023,cocinero,nm/f,cook,요리사,B-2
4024,aburrir,v,"bore, tire",지루하게 하다,B-2
4025,diminuto,adj,"diminutive, tiny, minute",아주 작은,A-3
4026,celeste,adj,"heavenly, sky-blue","하늘의, 하늘색의",A-3
4027,fotógrafo,nm/f,photographer,사진사,A-2
4028,imposición,nf,imposition,부과,A-2
4029,diluir,v,"dilute, weaken",희석하다,A-3
4030,convincente,adj,convincing,설득력 있는,B-2
4031,consuelo,nm,"comfort, consolation",위안,B-2
4032,periodístico,adj,journalistic,언론의,A-2
4033,cariñoso,adj,affectionate,다정한,A-3
4034,transmisión,nf,"broadcast, transmission",전송,A-2
4035,titular,v,"title, call",제목을 붙이다,B-2
4036,sendero,nm,(foot) path,오솔길,B-2
4037,frecuentar,v,"frequent, visit",자주 방문하다,A-2
4038,desacuerdo,nm,disagreement,불일치,B-2
4039,academia,nf,academy,아카데미,A-2
4040,acertado,adj,"correct, accurate",정확한,B-2
4041,catedral,nf,cathedral,대성당,A-1-b
4042,mediocre,adj,mediocre,평범한,A-2
4043,vanguardia,nf,"vanguard, forefront",선봉,B-2
4044,desafiar,v,"defy, stand up to",도전하다,B-2
4045,agitado,adj,"agitated, irritated",흥분한,A-2
4046,precario,adj,precarious,불안정한,A-2
4047,sanitario,adj,"health, sanitary, clean",위생의,A-2
4048,comprensible,adj,understandable,이해할 수 있는,A-2
4049,cuidadoso,adj,"careful, cautious",조심스러운,B-2
4050,despojar,v,"deprive, rob",빼앗다,B-2
4051,embarazo,nm,pregnancy,임신,B-2
4052,imposibilidad,nf,impossibility,불가능,A-2
4053,irracional,adj,irrational,비이성적인,A-2
4054,reinar,v,"reign, prevail",군림하다,A-1-b
4055,hundido,adj,"buried, sunken",가라앉은,B-2
4056,reportaje,nm,news report,보도 기사,B-2
4057,tambor,nm,drum,북,B-2
4058,fundación,nf,foundation,재단,A-2
4059,transparencia,nf,"transparency, slide",투명성,A-2
4060,elegancia,nf,"elegance, style",우아함,A-2
4061,criminal,nc,criminal,범인,A-1-b
4062,elogio,nm,"praise, eulogy, compliment",칭찬,B-2
4063,manta,nf,blanket,담요,B-2
4064,dinámico,adj,dynamic,역동적인,A-2
4065,hervir,v,to boil,끓다,B-2
4066,sereno,adj,"serene, calm",고요한,A-2
4067,retirado,adj,"retired, remote, secluded",은퇴한,B-2
4068,alerta,nf,alert,경계,A-1-b
4069,sinceridad,nf,sincerity,진실성,A-2
4070,cátedra,nf,academic chair,강좌,B-2
4071,refinado,adj,refined,세련된,A-2
4072,repertorio,nm,"repertoire, list, index",레퍼토리,A-2
4073,plancha,nf,"(electric) iron, plate, sheet",다리미,B-2
4074,terraza,nf,"terrace, balcony",테라스,A-2
4075,gala,nf,gala (performance/dinner),축제,A-1-b
4076,era,nf,"era, age",시대,A-1-a
4077,arranque,nm,"start, outburst, kick-start",시작,B-2
4078,patada,nf,"kick, punt",발길질,B-2
4079,disculpar,v,to excuse,용서하다,B-2
4080,lapso,nm,lapse,(시간의) 경과,A-3
4081,sudor,nm,"sweat, perspiration",땀,B-2
4082,apetito,nm,appetite,식욕,A-2
4083,íntimamente,adv,intimately,친밀하게,A-2
4084,indicación,nf,indication,지시,A-2
4085,perdurar,v,"last, live on, endure",지속되다,A-3
4086,aliado,nm,ally,동맹,B-2
4087,presidencia,nf,presidency,대통령직,A-2
4088,maldito,adj,"damned, wretched",저주받은,B-2
4089,consejero,nm/f,"advisor, counselor",고문,B-2
4090,inundar,v,"flood, inundate",범람시키다,B-2
4091,consigna,nf,"watchword, motto, slogan",슬로건,B-2
4092,cortesía,nf,courtesy,예의,A-3
4093,inmóvil,adj,"immovable, motionless",움직이지 않는,A-2
4094,atributo,nm,"attribute, quality",속성,A-2
4095,furia,nf,"fury, rage",분노,A-1-b
4096,grosero,adj,"crude, rude, crass",무례한,B-2
4097,catalán,adj,Catalan,카탈루냐의,B-2
4098,estatura,nf,"stature, height",키,B-2
4099,vejez,nf,old age,노년,B-2
4100,terremoto,nm,earthquake,지진,A-3
4101,articular,v,to articulate,명확히 말하다,A-2
4102,tira,nf,"strip, strap",띠,B-2
4103,emisor,nm,"transmitter, emitter",송신기,A-2
4104,relevante,adj,"relevant, significant",관련 있는,A-2
4105,integridad,nf,integrity,진실성,A-2
4106,autorización,nf,authorization,허가,A-2
4107,audaz,adj,"audacious, bold",대담한,A-3
4108,seminario,nm,"seminar, seminary",세미나,A-2
4109,marea,nf,"wave, tide, ebb",조수,B-2
4110,resentimiento,nm,resentment,분노,B-2
4111,delincuente,nc,delinquent,비행 청소년,A-3
4112,debilitar,v,"weaken, debilitate",약화시키다,B-2
4113,fingir,v,"feign, pretend",~인 체하다,B-2
4114,igualar,v,"equate, equalize",동등하게 하다,A-2
4115,disfrazado,adj,disguised,변장한,B-2
4116,trepar,v,to climb,기어오르다,B-2
4117,mutuamente,adv,"mutually, each other",서로,A-2
4118,correctamente,adv,correctly,올바르게,A-2
4119,ágil,adj,agile,민첩한,A-2
4120,atrasado,adj,"behind, slow",뒤처진,B-2
4121,esqueleto,nm,"skeleton, framework",해골,A-1-b
4122,indignación,nf,indignation,분개,A-2
4123,agradecido,adj,"grateful, thankful",감사하는,B-2
4124,adicional,adj,additional,추가의,A-2
4125,escultura,nf,"sculpture, carving",조각,A-2
4126,condicionado,adj,conditioned,조건부의,A-2
4127,infinidad,nf,"infinity, countless",무한,A-2
4128,pilar,nm,"pillar, column",기둥,A-1-a
4129,óptimo,adj,optimum,최적의,A-2
4130,súbito,adj,sudden,갑작스러운,B-2
4131,regular,v,"regulate, adjust",규제하다,A-2
4132,vosotros,pron,you (subj-pl/+fam),너희들,B-1
4133,rematar,v,"finish off, finish up",마무리하다,B-2
4134,incomprensible,adj,incomprehensible,이해할 수 없는,A-2
4135,independientemente,adv,independently,독립적으로,A-2
4136,percepción,nf,perception,인식,A-2
4137,minoría,nf,minority,소수,A-2
4138,deterioro,nm,"deterioration, damage",악화,B-2
4139,argumentar,v,"argue, deduce",주장하다,A-2
4140,guapo,adj,"handsome, beautiful",잘생긴,B-2
4141,sanción,nf,"sanction, approval, penalty",제재,A-2
4142,poblar,v,"populate, inhabit",거주하다,A-2
4143,contradecir,v,"contradict, be inconsistent",모순되다,A-2
4144,inmerso,adj,"engrossed, immersed",몰두한,A-2
4145,manipular,v,"manipulate, handle",조종하다,A-2
4146,maleta,nf,"suitcase, case",여행 가방,B-2
4147,faena,nf,"task, job, performance",작업,B-2
4148,regar,v,"water, irrigate",물을 주다,B-2
4149,evocar,v,"evoke, recall",환기시키다,A-3
4150,serpiente,nf,snake,뱀,A-3
4151,proveniente,adj,coming from,~에서 유래한,B-2
4152,primordial,adj,"fundamental, primary",근본적인,A-2
4153,agitación,nf,"agitation, excitement",동요,A-2
4154,prosperar,v,"prosper, thrive",번영하다,A-2
4155,ganancia,nf,"gain, profit",이익,B-2
4156,genético,adj,genetic,유전의,A-2
4157,pino,nm,pine (tree),소나무,A-1-b
4158,arrasar,v,"raze, ravage",파괴하다,B-2
4159,rebajar,v,to discount,할인하다,B-2
4160,entrevistar,v,to interview,인터뷰하다,B-2
4161,infeliz,adj,"unhappy, unfortunate",불행한,B-2
4162,compacto,adj,"compact, dense",조밀한,A-2
4163,llanto,nm,"crying, weeping",울음,B-2
4164,ida,nf,"departure, first half of a trip",감,B-2
4165,criminal,adj,criminal,범죄의,A-1-b
4166,coherente,adj,"coherent, connected",일관된,A-2
4167,falla,nf,"flaw, failure",결함,B-2
4168,contribución,nf,contribution,기여,A-2
4169,burla,nf,"mockery, joke, trick",조롱,B-2
4170,seguidor,nm,"follower, supporter, fan",추종자,B-2
4171,estratégico,adj,strategic,전략적인,A-2
4172,perla,nf,pearl,진주,A-1-a
4173,ético,adj,ethical,윤리적인,A-2
4174,integración,nf,integration,통합,A-2
4175,enterado,adj,aware of,알고 있는,B-2
4176,siesta,nf,"siesta, afternoon nap",시에스타(낮잠),A-4
4177,replicar,v,to reply,대답하다,A-3
4178,incipiente,adj,"incipient, beginning",초기의,A-2
4179,adornar,v,"adorn, to decorate",장식하다,A-3
4180,alternativo,adj,"alternating, alternative",대안의,A-2
4181,expresivo,adj,expressive,표현이 풍부한,A-2
4182,bigote,nm,mustache,콧수염,B-2
4183,concurrir,v,"coincide, concur, meet",모이다,A-2
4184,niñez,nf,"childhood, infancy",어린 시절,B-2
4185,leña,nf,firewood,장작,B-2
4186,atardecer,nm,"evening, dusk",해질녘,B-2
4187,restaurar,v,"restore, reinstate",복원하다,A-2
4188,retrasar,v,"delay, fall behind",지연시키다,B-2
4189,estatal,adj,"state, government-owned",국가의,B-2
4190,interrogante,nc,"question, interrogator",질문,A-2
4191,palpar,v,"feel, touch, fondle",만져보다,B-2
4192,perpetuo,adj,"continual, perpetual",영구적인,A-2
4193,lente,nmf,"lens, [pl] glasses",렌즈,A-3
4194,compás,nm,"rhythm, time, compass",박자,A-2
4195,estéril,adj,"sterile, barren",불모의,A-2
4196,llanura,nf,"plain, prairie, plainness",평원,B-2
4197,collar,nm,"collar, necklace",목걸이,A-1-b
4198,veneno,nm,"poison, venom",독,A-3
4199,mármol,nm,marble,대리석,A-1-b
4200,biografía,nf,biography,전기,A-2
4201,latente,adj,latent,잠재적인,A-1-b
4202,rebelión,nf,rebellion,반란,A-2
4203,hígado,nm,liver,간,B-2
4204,ladrón,nm,thief,도둑,B-2
4205,aparentar,v,give the appearance,~인 체하다,B-2
4206,holandés,adj,Dutch,네덜란드의,B-2
4207,tablero,nm,"board, panel",판,B-2
4208,enterrado,adj,buried,묻힌,B-2
4209,imitación,nf,imitation,모방,A-2
4210,adelanto,nm,"advance, progress",진보,B-2
4211,celoso,adj,jealous,질투하는,B-2
4212,oscurecer,v,get dark,어두워지다,B-2
4213,constitucional,adj,constitutional,헌법의,A-2
4214,intervalo,nm,"interval, gap",간격,A-1-b
4215,trago,nm,"swig, drink",한 모금,B-2
4216,fracción,nf,fraction,부분,A-2
4217,convento,nm,"convent, monastery",수도원,A-2
4218,arroyo,nm,"brook, stream, gutter",개울,B-2
4219,circular,adj,circular,원의,A-2
4220,enlace,nm,"link, connection, bond",연결,B-2
4221,torcer,v,"twist, bend, distort",비틀다,B-2
4222,derramar,v,"shed, pour out",흘리다,B-2
4223,diccionario,nm,dictionary,사전,A-2
4224,reflejado,adj,reflected,반사된,B-2
4225,afueras,nf,"outskirts, suburbs",교외,B-2
4226,agravar,v,to aggravate,악화시키다,A-2
4227,ceja,nf,"eyebrow, brow",눈썹,B-2
4228,detallado,adj,"detailed, thorough",상세한,B-2
4229,interponer,v,"interpose, intervene",사이에 두다,B-2
4230,topar,v,"run into, bump into",마주치다,B-2
4231,constitución,nf,constitution,헌법,A-2
4232,enlazar,v,"link, connect",연결하다,B-2
4233,clasificación,nf,classification,분류,A-2
4234,atrapado,adj,trapped,덫에 걸린,B-2
4235,lío,nm,"mess, problem, bad situation",혼란,B-2
4236,sede,nf,"headquarters, seat",본부,B-2
4237,colar,v,slip in [se],몰래 들어가다,B-2
4238,altamente,adv,highly,매우,B-2
4239,litro,nm,liter,리터,A-2
4240,bandeja,nf,tray,쟁반,B-2
4241,aproximación,nf,approximation,접근,A-2
4242,liviano,adj,"light, frivolous",가벼운,B-2
4243,entusiasmado,adj,"enthused, excited",열광한,B-2
4244,trapo,nm,"rag, cloth",걸레,B-2
4245,conocedor,nm,"expert, judge, connoisseur",전문가,B-2
4246,encaminar,v,"head for, guide",향하게 하다,B-2
4247,altar,nm,altar,제단,A-1-a
4248,acierto,nm,"good aim, guess, hit",명중,B-2
4249,piloto,nm/f,"pilot, driver",조종사,A-1-a
4250,susceptible,adj,susceptible,민감한,A-2
4251,inolvidable,adj,unforgettable,잊을 수 없는,B-2
4252,invocar,v,to invoke,기원하다,A-2
4253,computadora,nf,computer,컴퓨터,A-2
4254,ostentar,v,"flaunt, show off",과시하다,B-2
4255,alambre,nm,wire,철사,B-2
4256,mango,nm,"handle, mango","손잡이, 망고",B-2
4257,configurar,v,"make up, comprise",구성하다,A-2
4258,rosario,nm,"rosary, beads, string",묵주,B-2
4259,reconstrucción,nf,reconstruction,재건,A-2
4260,parroquia,nf,parish,교구,B-2
4261,ruidoso,adj,noisy,시끄러운,B-2
4262,supuestamente,adv,"supposedly, allegedly",아마도,A-2
4263,ampliamente,adv,widely,널리,B-2
4264,gigante,adj,gigantic,거대한,A-2
4265,prevalecer,v,to prevail,우세하다,B-2
4266,comprador,nm,buyer,구매자,B-2
4267,piedad,nf,"pity, mercy",동정심,A-3
4268,semanal,adj,weekly,매주의,B-2
4269,clandestino,adj,"undercover, clandestine",비밀의,A-2
4270,defensivo,adj,defensive,방어적인,A-2
4271,manual,adj,manual,수동의,A-1-a
4272,engendrar,v,"engender, beget",낳다,B-2
4273,contagiar,v,"infect, infest",전염시키다,B-2
4274,niebla,nf,fog,안개,B-2
4275,adonde,adv,to where,~하는 곳으로,B-2
4276,consagrar,v,"consecrate, establish",신성하게 하다,A-3
4277,mixto,adj,"mixed, co-ed",혼합된,B-2
4278,verbo,nm,verb,동사,A-1-a
4279,cadera,nf,hip,엉덩이,B-2
4280,procesión,nf,procession,행렬,A-2
4281,encuesta,nf,"poll, survey, inquiry",설문조사,B-2
4282,cría,nf,"breeding, raising",사육,B-2
4283,narración,nf,"narration, account",서술,A-2
4284,ramo,nm,"bunch (of flowers), branch",꽃다발,B-2
4285,penal,adj,penal,형벌의,A-2
4286,traidor,nm,traitor,배신자,B-2
4287,catálogo,nm,catalog,카탈로그,A-2
4288,protector,nm,"protector, defender",보호자,A-2
4289,amparo,nm,"protection, shelter",보호,B-2
4290,farmacia,nf,"pharmacy, drugstore",약국,A-3
4291,cima,nf,"summit, peak, top",정상,B-2
4292,riñón,nm,kidney,신장,B-2
4293,pintoresco,adj,picturesque,그림 같은,A-2
4294,finca,nf,"property, estate",농장,B-2
4295,calificación,nf,"evaluation, qualification",평가,A-2
4296,caudal,nm,"volume, abundance",유량,B-2
4297,publicitario,adj,advertising,광고의,B-2
4298,trastorno,nm,"confusion, trouble, upheaval",장애,B-2
4299,ceñir,v,"adhere to, fit tightly",두르다,B-2
4300,jovencito,nm,young person,젊은이,B-2
4301,incorporación,nf,"inclusion, incorporation",통합,A-2
4302,corral,nm,"corral, yard",가축우리,B-2
4303,fatiga,nf,fatigue,피로,A-2
4304,virgen,adj,virgin,처녀의,A-1-b
4305,bruja,nf,"witch, hag",마녀,B-2
4306,exploración,nf,exploration,탐험,A-2
4307,matrimonial,adj,matrimonial,결혼의,A-2
4308,equivalente,adj,equivalent,동등한,A-2
4309,ilustración,nf,illustration,삽화,A-2
4310,cómplice,nc,accomplice,공범,B-2
4311,melodía,nf,melody,멜로디,A-2
4312,productor,nm,producer,생산자,A-2
4313,deseable,adj,desirable,바람직한,A-3
4314,constatar,v,"prove, verify",확인하다,B-2
4315,portero,nm/f,"porter, doorkeeper, goalkeeper",문지기,A-3
4316,conejo,nm,rabbit,토끼,B-2
4317,pasivo,adj,passive,수동적인,A-2
4318,densidad,nf,"density, thickness",밀도,A-2
4319,dispersar,v,"disperse, scatter, spread",흩어지게 하다,A-3
4320,apuesta,nf,"wager, bet",내기,B-2
4321,nacionalidad,nf,nationality,국적,A-2
4322,llamativo,adj,striking,눈에 띄는,B-2
4323,vacilar,v,"vacillate, hesitate",망설이다,B-2
4324,mozo,nm,"waiter, youth, bellboy",젊은이,B-2
4325,capturar,v,to capture,포획하다,A-2
4326,cuerno,nm,"horn, antler",뿔,A-3
4327,remediar,v,"heal, cure",바로잡다,A-3
4328,fiar,v,"vouch for, confide, trust",보증하다,B-2
4329,desfilar,v,"march, parade",행진하다,B-2
4330,talla,nf,"size (of clothing), stature",사이즈,B-2
4331,justificado,adj,"justifiable, justified",정당화된,A-2
4332,comisario,nm,"commissioner, delegate",위원,B-2
4333,fotográfico,adj,photographic,사진의,A-2
4334,acercamiento,nm,"approach, approximation",접근,B-2
4335,desordenado,adj,"messy, confused",어질러진,B-2
4336,gráfico,adj,"graphic, explicit",그래픽의,A-2
4337,reaparecer,v,to reappear,재등장하다,B-2
4338,revuelto,adj,"confused, messed up",뒤죽박죽인,B-2
4339,contorno,nm,"outline, perimeter, edge",윤곽,A-2
4340,egoísmo,nm,selfishness,이기심,B-2
4341,bordo,nm,a bordo: on board,뱃전,B-2
4342,compensación,nf,compensation,보상,A-2
4343,prohibición,nf,prohibition,금지,A-2
4344,obrar,v,"work, act",행동하다,B-2
4345,expreso,adj,"express, explicit",명백한,A-2
4346,coronar,v,"crown, top",왕관을 씌우다,B-2
4347,liquidar,v,"liquidate, sell (off)",청산하다,A-2
4348,laberinto,nm,"maze, labyrinth",미로,A-3
4349,erótico,adj,erotic,에로틱한,A-2
4350,amenazado,adj,threatened,위협받는,B-2
4351,inminente,adj,imminent,임박한,A-2
4352,eternidad,nf,eternity,영원,A-2
4353,repasar,v,"review, revise",복습하다,B-2
4354,pastilla,nf,"pill, capsule",알약,B-2
4355,mierda,nf,"shit, crap, excrement",젠장,B-2
4356,contienda,nf,"contest, dispute",경쟁,B-2
4357,imperial,adj,"imperial, imperialist",제국의,A-2
4358,inexplicable,adj,unexplainable,설명할 수 없는,A-2
4359,peruano,adj,Peruvian,페루의,B-2
4360,experimental,adj,experimental,실험적인,A-2
4361,chorro,nm,"stream, jet, spurt",분출,B-2
4362,opaco,adj,"dull, opaque, heavy",불투명한,B-2
4363,clavo,nm,"nail, tack, peg",못,B-2
4364,sequía,nf,drought,가뭄,B-2
4365,dinámica,nf,dynamics,역학,A-2
4366,ocio,nm,leisure (time),여가,B-2
4367,normalidad,nf,normality,정상 상태,A-2
4368,intuir,v,to sense,직감하다,A-3
4369,resonancia,nf,"resonance, repercussion",공명,A-2
4370,devorar,v,"devour, consume",게걸스럽게 먹다,B-2
4371,efímero,adj,"ephemeral, short-lived",덧없는,A-3
4372,chaqueta,nf,jacket,재킷,B-2
4373,aferrar,v,"grasp, clutch",꽉 잡다,B-2
4374,invertido,adj,"reversed, inverted",거꾸로 된,A-2
4375,asco,nm,disgust,혐오,B-2
4376,consolidar,v,to consolidate,통합하다,A-2
4377,apresurar,v,"hurry up, speed up",서두르게 하다,B-2
4378,pleito,nm,"litigation, suit, dispute",소송,B-2
4379,latir,v,beat (heart),고동치다,B-2
4380,sencillez,nf,simplicity,단순함,B-2
4381,transitorio,adj,transitory,일시적인,A-2
4382,estupidez,nf,"stupidity, stupid thing",어리석음,B-2
4383,mojado,adj,wet,젖은,B-2
4384,descalzo,adj,barefoot,맨발의,B-2
4385,orientado,adj,"positioned, guided",향해진,A-2
4386,senador,nm/f,senator,상원의원,A-2
4387,rencor,nm,"grudge, spite",원한,B-2
4388,presidencial,adj,presidential,대통령의,A-2
4389,apurar,v,"speed up, hurry up",서두르다,B-2
4390,insultar,v,"insult, berate",모욕하다,A-2
4391,brasileño,adj,Brazilian,브라질의,B-2
4392,sustentar,v,"maintain, support",유지하다,B-2
4393,probabilidad,nf,probability,확률,A-2
4394,minucioso,adj,"meticulous, thorough",세심한,B-2
4395,rústico,adj,"rustic, rural",시골풍의,A-2
4396,gobernante,nc,"ruler, leader",통치자,B-2
4397,merced,nf,"favor, mercy","은혜, 자비",B-2
4398,acariciar,v,"stroke, fondle, caress",쓰다듬다,B-2
4399,tonelada,nf,ton,톤,B-2
4400,rebelde,nc,"rebel, insurgent",반역자,A-1-a
4401,anhelo,nm,"longing, yearning",갈망,B-2
4402,princesa,nf,princess,공주,A-2
4403,decididamente,adv,"decidedly, decisively",단호하게,A-2
4404,embajada,nf,embassy,대사관,B-2
4405,apagado,adj,turned off,꺼진,B-2
4406,bruscamente,adv,"quickly, sharply",갑자기,B-2
4407,vincular,v,"connect, link, bind",연결하다,B-2
4408,amargura,nf,"bitterness, sorrow",쓰라림,B-2
4409,fortalecer,v,to fortify,강화하다,B-2
4410,validez,nf,validity,타당성,A-2
4411,tacto,nm,"sense of touch, feel",촉감,A-1-b
4412,codo,nm,elbow,팔꿈치,B-2
4413,vibrar,v,"vibrate, tremble",진동하다,A-2
4414,calzar,v,wear (shoes),신다,B-2
4415,chimenea,nf,"chimney, fireplace",굴뚝,A-1-b
4416,comunitario,adj,of the community,공동체의,A-2
4417,explícito,adj,explicit,명백한,A-2
4418,silvestre,adj,wild,야생의,A-3
4419,evaluar,v,"evaluate, assess",평가하다,A-2
4420,emocionar,v,"move, make, get excited",감동시키다,A-2
4421,editar,v,"edit, publish, release",편집하다,A-1-a
4422,abanico,nm,"range, (handheld) fan","부채, 범위",B-2
4423,fiscal,adj,"fiscal, treasury",재정의,A-1-a
4424,espacial,adj,"spatial, space",공간의,A-2
4425,violentamente,adv,violently,폭력적으로,A-2
4426,medieval,adj,medieval,중세의,A-2
4427,camiseta,nf,T-shirt,티셔츠,B-2
4428,honrado,adj,"honest, respectable",정직한,B-2
4429,veloz,adj,"fast, quick",빠른,B-2
4430,corteza,nf,"bark, crust, rind, peel",껍질,B-2
4431,sumergir,v,"submerge, plunge",잠기게 하다,B-2
4432,cordillera,nf,mountain range,산맥,B-2
4433,monótono,adj,monotonous,단조로운,A-2
4434,longitud,nf,"length, longitude",길이,A-3
4435,espantar,v,"scare, frighten",겁주다,B-2
4436,imprevisto,adj,"unforeseen, unexpected",예기치 않은,B-2
4437,psicología,nf,psychology,심리학,A-2
4438,soviético,adj,Soviet,소비에트의,B-2
4439,potencial,adj,potential,잠재적인,A-2
4440,ambulante,adj,traveling,이동하는,A-3
4441,agrupar,v,(put in) group,그룹으로 묶다,B-2
4442,exageración,nf,exaggeration,과장,A-2
4443,apreciación,nf,"appreciation, assessment",평가,A-2
4444,perverso,adj,"perverse, wicked",사악한,A-2
4445,estallido,nm,"crash, outbreak, explosion",폭발,B-2
4446,ardiente,adj,"passionate, ardent",불타는,A-3
4447,talón,nm,"heel, check, coupon, stub",발뒤꿈치,B-2
4448,atener,v,"abide by, comply with",따르다,B-2
4449,colchón,nm,mattress,매트리스,B-2
4450,tenue,adj,"tenuous, flimsy",희미한,B-2
4451,tinte,nm,"tint, dye","염료, 색조",B-2
4452,indiscutible,adj,"indisputable, unquestionable",논쟁의 여지가 없는,B-2
4453,imprenta,nf,printing house,인쇄소,B-2
4454,bastón,nm,(walking) cane,지팡이,B-2
4455,sombrío,adj,"shady, dark, dismal",어두운,B-2
4456,humillación,nf,humiliation,굴욕,A-2
4457,trance,nm,"trance, fix, enrapture",무아지경,A-1-b
4458,volante,nm,steering wheel,핸들,B-2
4459,adolescente,adj,adolescent,청소년의,A-2
4460,encabezar,v,"head, lead (off)",이끌다,B-2
4461,rosado,adj,"pink, rosy",분홍색의,B-2
4462,amistoso,adj,friendly,우호적인,B-2
4463,noble,nc,"nobleman, noble",귀족,A-1-a
4464,radicalmente,adv,radically,급진적으로,A-2
4465,reclamo,nm,"claim, complaint, protest",요구,A-3
4466,asesor,nm/f,"adviser, consultant",고문,B-2
4467,perteneciente,adj,"pertaining, belonging",속하는,B-2
4468,novelista,nc,novelist,소설가,A-2
4469,herido,nm,wounded (person),부상자,B-2
4470,necesitado,adj,"poor, needy",가난한,B-2
4471,indefinido,adj,"vague, indefinite",불명확한,A-2
4472,solidario,adj,"united, jointly shared",연대하는,A-2
4473,paralizado,adj,paralyzed,마비된,A-2
4474,grueso,nm,"bulk, mass",굵기,B-2
4475,chupar,v,to suck,빨다,B-2
4476,grabación,nf,recording,녹음,B-2
4477,frasco,nm,"bottle, jar, flask",작은 병,B-2
4478,inquietante,adj,disquieting,불안하게 하는,B-2
4479,visual,adj,visual,시각의,A-1-a
4480,verdura,nf,"vegetables, greenery",채소,B-2
4481,violación,nf,"violation, rape",위반,A-2
